Graph,Title ,Visual Content,Description ,Comments,,GPT description ,,
AQA_Graph_001.png,Parallel Circuit with 3 bulb supplied by DC supply,"The diagram labelled Figure 9 is illustrated by the black lines which are the wire, the branches on the right are connected to circles that has a cross which are the bulbs. 
The right side of the imagage is the 3 branches that are connecteed in parallel. 
The grey box on the left is the power supply that provides 12V dc to the parallel circuit.","Parallel Circuit with 3 bulbs supplied by DC Supply: 
Lines in black colour represent wires and the branch off on the right to connect to circles with crosses in the middle to represent light bulbs.  There are 3 branches on the right side of the image are connected in parallel and are connected to the grey box on the left side of the image that acts as a power supply of 12V direct current to the parallel circuit. 
",,,"The diagram labelled Figure 1 shows a stroboscopic image of a bouncing ball illustrating its motion under gravity. Each white dot represents the ball’s position at equal time intervals as it falls and bounces from the floor. The path follows a series of parabolic arcs, with each bounce reaching a lower height, showing the loss of energy due to non-conservative forces such as heat and deformation. The spacing between the dots decreases as the ball ascends and increases as it falls, reflecting changes in velocity. The labelled line at the bottom marks the floor, providing a reference level for the impacts. The image demonstrates gravitational acceleration, energy dissipation, and the coefficient of restitution in a clear visual form.",,
AQA_Graph_002.png,Object falling and bouncing due to gravity ,"The diagram labelled Figure 1 captures the motion of a ball falling from a height and bouncing multiple times, with each white dot representing its position at equal time intervals. The ball follows a series of parabolic trajectories, illustrating gravitational acceleration and projectile motion. Each rebound reaches a lower height, revealing energy loss due to non-conservative forces like heat and deformation. The spacing between dots reflects changes in velocity, and the pattern offers a basis for analyzing time-of-flight, estimating the coefficient of restitution, and modeling energy dissipation.","Object falling and bouncing due to gravity: 
The diagram labelled Figure 1 captures the motion of a ball falling from a height and bouncing multiple times, with each white dot representing its position at equal time intervals. The ball follows a series of parabolic trajectories, illustrating gravitational acceleration and projectile motion. Each rebound reaches a lower height, revealing energy loss due to non-conservative forces like heat and deformation. The spacing between dots reflects changes in velocity, and the pattern offers a basis for analyzing time-of-flight, estimating the coefficient of restitution, and modeling energy dissipation.
",,,"The diagram labelled Figure 2 shows a circuit used to measure potential difference across resistors. A 1.62 V power supply provides energy to the circuit through a switch S. Two resistors, labelled 2.2 Ω and 6.8 Ω, are connected in series between points X and Y, while a voltmeter (V) is connected in parallel across the entire resistor combination. When the switch is closed, current flows through both resistors, and the voltmeter measures the total potential difference across them. The circuit demonstrates the relationship between resistance, current, and voltage, following Ohm’s law and showing correct parallel connection for voltage measurement.",,
AQA_Graph_003.png,Time it takes for a steel ball to fall and make contact with the switch,"This diagram labelled Figure 1 illustrates a experimental setup for measuring the time it takes a steel ball to fall a known vertical distance. The ball is initially held by an electromagnet at the top left of the image. When the switch is closed, the electromagnet releases the ball and simultaneously starts a timer. The ball falls through a vertical distance labeled “s” and triggers an impact switch at the bottom, which stops the timer upon contact. ","
Time it takes for a steel ball to fall and make contact with the switch:
This diagram labelled Figure 1 illustrates an experimental setup for measuring the time it takes a steel ball to fall a known vertical distance. The ball is initially held by an electromagnet at the top left of the image. When the switch is closed, the electromagnet releases the ball and simultaneously starts a timer. The ball falls through a vertical distance labeled “s” and triggers an impact switch at the bottom, which stops the timer upon contact.",,,"The diagram labelled Figure 3 is a plan view (not to scale) of a two-source interference experiment. A signal generator on the left connects via wires to two output points, P and Q, which are placed vertically along a line through point O. These act as coherent sources, likely loudspeakers or transducers, producing identical waves in phase. Dashed reference lines pass through O horizontally and vertically, marking alignment for measurements. On the right, two observation points A and B are shown along the dashed axes, representing detector positions where interference effects are observed. The setup allows measurement of constructive and destructive interference based on the path difference between the two sources.",,
AQA_Graph_004.png,Rod reaction to a magnetic field,"The diagram labelled Figure 5 illustrats a vertical rod standing on horizontal ground, intersected by Earth’s magnetic field lines that slant downward from left to right at an angle of 68° to the horizontal. The rod is 8.0 meters tall and oriented perpendicular to the ground, while the direction ""north"" is indicated to the left. This setup illustrates the inclination of Earth’s magnetic field and its interaction with a vertical conductor. ","Rod reaction to a magnetic field:
The diagram labelled Figure 5 illustrates a vertical rod standing on horizontal ground, intersected by Earth’s magnetic field lines that slant downward from left to right at an angle of 68° to the horizontal. The rod is 8.0 meters tall and oriented perpendicular to the ground, while the direction ""north"" is indicated to the left. This setup illustrates the inclination of Earth’s magnetic field and its interaction with a vertical conductor.
",,,"The diagram labelled Figure 4 shows a free-fall timing experiment designed to measure the time taken for a steel ball to fall a known distance s. The ball is initially held in place by an electromagnet connected to a circuit containing a switch and a battery. When the switch is closed, the electromagnet releases the ball and simultaneously starts a timer. At the bottom of the setup, an impact switch is positioned to stop the timer when the ball strikes it. The apparatus provides accurate timing for the falling motion, enabling calculation of gravitational acceleration using the relationship ( s = \frac{1}{2} g t^2 ). Labels identify the key parts: electromagnet, steel ball, impact switch, and electrical connections.",,
AQA_Graph_005.png,Charging and discharging of a capacitor,"The diagram labelled Figure 10 shows an oscilloscope display capturing the voltage waveform of a circuit when a switch, denoted as ""S,"" is closed. The waveform begins at a high voltage level, drops sharply to a low level, remains low briefly, then rises gradually in a curved fashion back to a high level, before dropping sharply again. This pattern reflects the dynamic response of the circuit to the switching event, likely involving capacitor charging or inductive behavior. The oscilloscope grid allows for precise measurement of voltage and time intervals.","
Charging and discharging of a capacitor:
The diagram labelled Figure 10 shows an oscilloscope display capturing the voltage waveform of a circuit when a switch, denoted as ""S,"" is closed. The waveform begins at a high voltage level, drops sharply to a low level, remains low briefly, then rises gradually in a curved fashion back to a high level, before dropping sharply again. This pattern reflects the dynamic response of the circuit to the switching event, likely involving capacitor charging or inductive behavior. The oscilloscope grid allows for precise measurement of voltage and time intervals.
",,,"The diagram labelled Figure 5 depicts the Earth’s magnetic field lines and their inclination relative to the horizontal ground. The field lines are shown as parallel diagonal arrows slanting downward towards the north, at an angle of 68° to the horizontal. A rod is suspended vertically at a height of 8.0 m, intersecting one of the field lines. The diagram shows that Earth’s magnetic field has both horizontal and vertical components, with the inclination (or dip angle) representing the angle between the field and the horizontal plane. The north direction is marked to the left, and the figure is labelled “not to scale” to indicate that spacing and height are schematic.",,
AQA_Graph_006.png,Velocity time graph of an object,"The diagram labelled Figure 1 presents a graph of speed (in m/s) versus distance (in meters), illustrating the motion profile of an object or vehicle over a 16,000-meter journey. The curve begins at the origin, rises steeply to a peak speed of approximately 450 m/s around the 6,000-meter mark, indicating a phase of rapid acceleration. Between 6,000 and 8,000 meters, the speed remains nearly constant, reflecting uniform motion. Beyond 8,000 meters, the speed gradually decreases, with a sharper decline after 12,000 meters, suggesting deceleration possibly due to braking, drag, or energy depletion. This graph effectively captures the three key phases of motion—acceleration, constant velocity, and deceleration.","
Velocity time graph of an object:
The diagram labelled Figure 1 presents a graph of speed (in m/s) versus distance (in meters), illustrating the motion profile of an object or vehicle over a 16,000-meter journey. The curve begins at the origin, rises steeply to a peak speed of approximately 450 m/s around the 6,000-meter mark, indicating a phase of rapid acceleration. Between 6,000 and 8,000 meters, the speed remains nearly constant, reflecting uniform motion. Beyond 8,000 meters, the speed gradually decreases, with a sharper decline after 12,000 meters, suggesting deceleration possibly due to braking, drag, or energy depletion. This graph effectively captures the three key phases of motion—acceleration, constant velocity, and deceleration.
",,,"The diagram labelled Figure 6 shows an experiment to measure the magnetic force between two parallel current-carrying wires. The upper part presents a simple circuit containing a cell, an ammeter (A), and a variable resistor for adjusting current. The lower part shows two horizontal wires, X and Y, placed parallel and separated by a small distance d. The upper wire (Y) carries current I downward, while the lower wire (X) carries current I upward. The lower wire is mounted on a pan balance, and its apparent weight changes due to the magnetic interaction between the wires. When currents flow in opposite directions, the wires repel, causing a measurable force that demonstrates Ampère’s force law. The experiment allows determination of the force per unit length between conductors.",,
AQA_Graph_007.png,gravitational potentials,"The diagram labelled Figure 2 illustrates how gravitational potential varies with distance from the centre of the Moon. It features three concentric arcs, each representing a specific radial distance and its corresponding gravitational potential value. At 2.23 × 10⁶ m, the potential is -2.20 × 10⁶ J/kg; at 2.58 × 10⁶ m, it is -1.90 × 10⁶ J/kg; and at 3.06 × 10⁶ m, it is -1.60 × 10⁶ J/kg. These increasingly less negative values indicate that gravitational potential becomes weaker (less binding) as distance from the Moon increases.","Gravitational potentials
The diagram labelled Figure 2 illustrates how gravitational potential varies with distance from the centre of the Moon. It features three concentric arcs, each representing a specific radial distance and its corresponding gravitational potential value. At 2.23 × 10⁶ m, the potential is -2.20 × 10⁶ J/kg; at 2.58 × 10⁶ m, it is -1.90 × 10⁶ J/kg; and at 3.06 × 10⁶ m, it is -1.60 × 10⁶ J/kg. These increasingly less negative values indicate that gravitational potential becomes weaker (less binding) as distance from the Moon increases.
",,,"The diagram labelled Figure 7 shows a graph of speed (m s⁻¹) plotted against distance (m). The graph starts at the origin and rises steeply, showing the object accelerating uniformly until about 6000 m, where the speed reaches a maximum of approximately 450 m s⁻¹. Beyond this point, the curve flattens, indicating constant speed for a short interval, before gradually descending, showing deceleration until the speed falls to zero at 16 000 m. The shape of the curve represents a typical velocity–distance profile for a vehicle or projectile that accelerates to top speed, cruises, and then slows down to rest, illustrating energy transfer and motion analysis under changing forces.",,
AQA_Graph_008.png,Velocity time graph of an object but in minutes,"The diagram labelled Figure 5 presents a speed-time graph that illustrates the motion of an object over a 4-minute interval. The graph consists of three distinct linear segments: from 0 to 1 minute, the speed increases steadily from 15 m/s to 25 m/s, indicating uniform acceleration. Between 1 and 2.5 minutes, the speed remains constant at 25 m/s, representing a phase of uniform motion. From 2.5 to 4 minutes, the speed decreases linearly from 25 m/s to 10 m/s, showing uniform deceleration. This graph effectively captures the three fundamental phases of motion—acceleration, constant velocity, and deceleration","Velocity time graph of an object but in minutes:
The diagram labelled Figure 5 presents a speed-time graph that illustrates the motion of an object over a 4-minute interval. The graph consists of three distinct linear segments: from 0 to 1 minute, the speed increases steadily from 15 m/s to 25 m/s, indicating uniform acceleration. Between 1 and 2.5 minutes, the speed remains constant at 25 m/s, representing a phase of uniform motion. From 2.5 to 4 minutes, the speed decreases linearly from 25 m/s to 10 m/s, showing uniform deceleration. This graph effectively captures the three fundamental phases of motion—acceleration, constant velocity, and deceleration
",,,"The diagram labelled Figure 8 represents gravitational potential variation with distance from the Moon’s centre. Concentric curved lines show distances of 2.23 × 10⁶ m, 2.58 × 10⁶ m, and 3.06 × 10⁶ m from the Moon, with corresponding gravitational potential values of –2.20, –1.90, and –1.60 × 10⁶ J kg⁻¹. The solid semicircle represents the Moon, and the dashed arcs represent equipotential surfaces. The diagram is labelled “not to scale,” indicating that the spacing is schematic. The figure demonstrates how gravitational potential becomes less negative with increasing distance from the Moon, showing the weakening of gravitational attraction with radius.",,
AQA_Graph_009.png,??!!?? might be density or youngs modulus,"The diagram labelled Figure 5 illustrates the structural design of an unsharpened pencil through both end and side views. The end view shows an octagonal wooden body with a centrally embedded cylindrical graphite core, where the diameter of the core is marked as ""d"" and the width across the flat sides of the pencil is labeled ""w."" The side views confirm that both ends of the pencil are flat and that the graphite core runs symmetrically through the center of the wooden casing.",,,,"The diagram labelled Figure 9 shows a 12 V DC circuit with three lamps connected in parallel. On the left, a rectangular grey box represents the power supply, marked “12 V dc.” Two connecting wires extend from the power source to a set of parallel branches on the right. Each branch contains a lamp, symbolised by a circle with a cross inside. The three branches share a common top and bottom connection, forming a parallel arrangement. This configuration ensures that each lamp receives the full 12 V supply independently, and if one lamp fails, the others remain lit. The diagram demonstrates the basic principle of parallel electrical connections in DC circuits.",,
AQA_Graph_010.png,Uncertainty Graph with Error Bars,"The diagram labelled Figure 2 presents a scatter plot showing the relationship between the variables t^2/s^2 on the x-axis and 2𝑠/𝑚 on the y-axis. The x-axis ranges from approximately 0.14 to 0.30, while the y-axis spans from 1.2 to 3.0. Each data point includes both vertical and horizontal error bars, indicating measurement uncertainty in both variables. This visual representation suggests an experimental or analytical investigation, likely in a physics or engineering context, where the relationship between these derived quantities is being explored. The inclusion of error bars highlights the importance of precision and reliability in the data, making this graph a valuable tool for interpreting trends, validating models, or assessing the consistency of experimental results.","
Uncertainty Graph with Error Bars:
The diagram labelled Figure 2 presents a scatter plot showing the relationship between the variables t^2/s^2 on the x-axis and 2𝑠/𝑚 on the y-axis. The x-axis ranges from approximately 0.14 to 0.30, while the y-axis spans from 1.2 to 3.0. Each data point includes both vertical and horizontal error bars, indicating measurement uncertainty in both variables. This visual representation suggests an experimental or analytical investigation, likely in a physics or engineering context, where the relationship between these derived quantities is being explored. The inclusion of error bars highlights the importance of precision and reliability in the data, making this graph a valuable tool for interpreting trends, validating models, or assessing the consistency of experimental results.
",,,"The diagram labelled Figure 10 shows a scatter graph used to analyse the relationship between the quantities ( 2s ) and ( t^2 ). The horizontal axis is labelled ( t^2 / \text{s}^2 ), ranging from 0.14 to 0.30, while the vertical axis is labelled ( 2s / \text{m} ), spanning from 1.2 m to 3.0 m. Data points are marked with crosses (×), each accompanied by vertical error bars, representing uncertainties in the measurements of ( 2s ). The plotted points form a generally positive linear trend, showing that ( 2s ) increases with ( t^2 ), consistent with the kinematic equation for constant acceleration, ( s = \tfrac{1}{2} a t^2 ). The gradient of the line of best fit through the data could be used to determine the acceleration due to gravity (g), making this a common experimental graph in free-fall investigations.",,
